frame,shoulder_tilt,spine_alignment,left_hand_raised_x,right_hand_raised_x,speed,smile_curvature,eyebrow_raise_avg,left_hand_raised_y,right_hand_raised_y,left_hand_speed,right_hand_speed,sentiment
1,0.03307012304086925,0.06035648286342621,True,False,0.00042925974072482537,0.0698524754899891,-0.028145566582679776,False,,0.006051578567740418,,neutral
2,0.035699722326001264,0.05134837329387665,True,False,0.0045006592017973876,0.06164282809403906,-0.026579827070236234,False,,0.014627064129105364,,neutral
3,0.04132551464190973,0.04413990676403046,True,False,0.009066006072862766,0.027022720799528496,-0.02614587545394903,False,,0.013874518582901516,,neutral
4,0.04047522798480184,0.037827327847480774,True,False,0.010338182091318546,0.02686186708105861,-0.023072019219398526,False,,0.007995159293247223,,neutral
5,0.04481111924003611,0.03128455579280853,False,False,0.0088979834989153,0.017110609393169336,-0.0246433615684509,False,,0.01825110273896784,,neutral
6,0.054482699925661765,0.025648966431617737,False,False,0.005513490993892986,0.026130794408705797,-0.024283692240715055,False,,0.032670409412936,,neutral
7,0.05881116257084515,0.018057912588119507,False,False,0.009471331948325829,0.02500736754355684,-0.02358397841453555,False,,0.008982918207727262,,neutral
8,0.0599154642685517,0.014802485704421997,False,False,0.007871994179180445,0.017044816291839557,-0.022617757320404025,False,,0.00774121251556264,,neutral
9,0.061406487078403314,0.01322774589061737,False,False,0.005119630933131397,0.013343137180200294,-0.02238824963569644,False,,0.0022823171287921647,,neutral
10,0.0630625042253344,0.005522102117538452,False,False,0.010113647927153954,0.01101776179510503,-0.02195051312446597,False,,0.003296122043267641,,neutral
11,0.06694426952610312,0.0007792115211486816,False,False,0.006837250385181565,-0.008155120481927711,-0.0225541889667511,False,,0.0015291037338289255,,neutral
12,0.0687672821189035,0.003354281187057495,False,False,0.0027239913491878182,-0.022562051614494504,-0.023751214146614075,False,,0.003547955489552216,,neutral
13,0.06944924553684256,0.005378693342208862,False,False,0.0018716412821914905,-0.02187049140467871,-0.024045914411544855,False,,0.0015062557037563123,,neutral
14,0.07106517382037039,0.007804438471794128,False,False,0.002684180373030936,-0.028427674552139594,-0.02443017065525055,False,,0.004717862016136098,,neutral
15,0.07045191473485361,0.012439340353012085,False,False,0.005723007571165723,-0.03268622099206805,-0.02374856173992157,False,,0.0014777166054253193,,neutral
16,0.06782386566582715,0.013973131775856074,False,False,0.002785365936569875,-0.03922333110137627,-0.02487117052078247,False,,0.001452234589465484,,neutral
17,0.06463609857103643,0.013152003288269043,False,False,0.0014260113435483439,-0.041073811321048224,-0.025635570287704496,False,,0.0006519522831852998,,neutral
18,0.058915941755098386,0.008016005158424377,False,False,0.0020663374074284787,-0.039744621478719856,-0.02616363763809204,False,,0.003808459388322824,,neutral
19,0.056939203885593995,0.007231667637825012,False,False,0.00043471179386909563,-0.03679464695284067,-0.026622802019119207,False,,0.0037442691087974152,,neutral
20,0.056483993762797,0.007591724395751953,False,False,0.0007070362482228821,-0.052324740156764755,-0.02661982178688052,False,,0.0014621912142287407,,neutral
21,0.0532588485312403,0.007198438048362732,False,False,0.0013624348710293591,-0.050695619571613344,-0.02689824998378751,False,,0.004507149554705306,,neutral
22,0.0534185113523097,0.009342998266220093,False,False,0.002774936994927466,-0.055305424048414945,-0.02854625880718234,False,,0.014444991940371465,,neutral
23,0.05726704029459046,0.01622137427330017,False,False,0.0011316509790786568,-0.07222730147484156,-0.03026503324508667,False,,0.015253388005538876,,neutral
24,0.055187409836730546,0.015596076846122742,False,False,0.002161016808564821,-0.07450091319824564,-0.03561016917228696,False,,0.009087048726392946,,neutral
